formula,Crystal System,band_gap_calculated (eV)
As3W2,Monoclinic,0
As4C3,Cubic,0
As4S3,Orthorhombic,2.27435
As4S5,Monoclinic,1.997
As4Se3,Orthorhombic,1.6129
As7Rh12,Trigonal,0
As8S9,Monoclinic,1.7164
As8S9,Triclinic,0.0495
AsAu3,Hexagonal,0
AsBr3,Orthorhombic,3.1271
AsCl3,Orthorhombic,3.9873
AsCl5,Orthorhombic,1.4376
AsF3,Orthorhombic,5.36
AsF5,Hexagonal,4.6002
AsH3,Cubic,0
AsI3,Trigonal,2.2375
AsN9,Monoclinic,3.1971
AsO2,Monoclinic,0.076
AsO2,Orthorhombic,3.3759
AsO3,Cubic,0.1506
AsP,Monoclinic,0.4582
AsP,Trigonal,0
AsPb3,Hexagonal,0
AsPd2,Hexagonal,0
AsPd2,Orthorhombic,0
AsPd3,Tetragonal,0
AsPd4,Tetragonal,0
AsPd5,Monoclinic,0
AsPt3,Cubic,0
AsPt3,Hexagonal,0
AsRh,Orthorhombic,0
AsRh2,Cubic,0
AsRh2,Orthorhombic,0
AsRu,Orthorhombic,0
AsS,Monoclinic,2.0472
AsS,Orthorhombic,0.207866667
AsS,Triclinic,0.5018
AsS2,Monoclinic,1.2919
AsSe,Monoclinic,1.368
Au2O3,Orthorhombic,0.869
Au2O3,Triclinic,0.739
Au2S,Cubic,1.9091
Au3Br,Hexagonal,0
Au3Br,Tetragonal,0
Au3Cl,Tetragonal,0
Au3F8,Monoclinic,0.5426
Au3N,Triclinic,0
Au3O,Hexagonal,0
Au3S,Hexagonal,0
AuBr,Tetragonal,1.83005
AuBr2,Tetragonal,0
AuBr3,Monoclinic,0.8891
AuC,Hexagonal,0
AuC2,Hexagonal,2.8504
AuCl,Hexagonal,0
AuCl,Monoclinic,1.296
AuCl,Tetragonal,1.81205
AuCl2,Triclinic,0.8979
AuCl3,Monoclinic,1.3606
AuCl4,Tetragonal,0.0019
AuF3,Hexagonal,1.5542
AuF5,Orthorhombic,0.7042
AuI,Tetragonal,2.0942
AuI2,Tetragonal,0
AuN,Cubic,0
AuN2,Cubic,0
AuN2,Orthorhombic,0
AuS,Hexagonal,0
AuS2,Cubic,0
AuSe,Hexagonal,0
AuSe,Monoclinic,0.1314
B10H13,Monoclinic,3.41
B10H13,Orthorhombic,3.2507
B10H13,Tetragonal,3.3447
B11Rh18,Triclinic,0
B12S,Trigonal,0.8982
B12W,Cubic,0
B13C2,Trigonal,0
B13H19,Monoclinic,2.8072
B13N2,Trigonal,0
B13P,Trigonal,0
B13P2,Trigonal,0
B17F27,Triclinic,2.5882
B24Mo7,Hexagonal,0
B2Au,Hexagonal,0
B2F3,Monoclinic,2.4325
B2H3,Orthorhombic,3.1063
B2H5,Monoclinic,6.3315
B2Mo,Hexagonal,0
B2Mo,Trigonal,0
B2Mo3,Tetragonal,0
B2O,Trigonal,0
B2O3,Orthorhombic,8.3751
B2O3,Triclinic,4.28846
B2O3,Trigonal,6.3017
B2Os,Orthorhombic,0
B2Pd5,Monoclinic,0
B2Pt3,Trigonal,0
B2Ru,Orthorhombic,0
B2S3,Monoclinic,2.4867
B2S3,Tetragonal,2.5264
B2S3,Trigonal,1.5315
B2W,Hexagonal,0
B36O5,Triclinic,2.5603
B3H4,Orthorhombic,2.3449
B3H5,Monoclinic,3.7409
B3H5,Orthorhombic,3.8726
B3Ir2,Monoclinic,0
B3Mo,Trigonal,0
B3Os2,Hexagonal,0
B3Pd16,Monoclinic,0
B3Rh7,Hexagonal,0
