formula,Crystal System,band_gap_calculated (eV)
Ba11Bi10,Tetragonal,0
Ba11Sb10,Orthorhombic,0
Ba19Li44,Tetragonal,0
Ba20As13,Orthorhombic,0
Ba20Hg103,Cubic,0.1803
Ba21Al40,Trigonal,0
Ba2As,Tetragonal,0
Ba2Bi,Tetragonal,0
Ba2Bi3,Orthorhombic,0
Ba2Cd,Tetragonal,0
Ba2Ge,Orthorhombic,0
Ba2Ge3,Orthorhombic,0
Ba2Hg,Tetragonal,0
Ba2In,Orthorhombic,0
Ba2Mg17,Trigonal,0
Ba2N,Trigonal,0
Ba2Pb,Orthorhombic,0.0288
Ba2Pd,Orthorhombic,0
Ba2S3,Tetragonal,1.2985
Ba2Sb,Tetragonal,0
Ba2Sb3,Monoclinic,0.3248
Ba2Si,Orthorhombic,0
Ba2Sn,Orthorhombic,0
Ba2Zn,Tetragonal,0
Ba3Ac,Hexagonal,0
Ba3Ac,Tetragonal,0
Ba3Ag2,Trigonal,0
Ba3Al5,Hexagonal,0
Ba3As14,Monoclinic,1.2631
Ba3As2,Cubic,0
Ba3Au2,Trigonal,0
Ba3Bi,Hexagonal,0
Ba3Bi2,Cubic,0
Ba3Ca,Cubic,0
Ba3Ca,Hexagonal,0
Ba3Ca,Tetragonal,0
Ba3Ce,Hexagonal,0
Ba3Ce,Tetragonal,0
Ba3Dy,Hexagonal,0
Ba3Er,Hexagonal,0
Ba3Er,Tetragonal,0
Ba3Eu,Cubic,0
Ba3Ge4,Orthorhombic,0
Ba3Ge4,Tetragonal,0
Ba3Ge5,Orthorhombic,0
Ba3H,Hexagonal,0
Ba3Ho,Tetragonal,0
Ba3La,Cubic,0
Ba3La,Hexagonal,0
Ba3Li,Tetragonal,0
Ba3Mn,Cubic,0
Ba3Mo,Cubic,0
Ba3N,Hexagonal,0
Ba3N2,Cubic,0.0489
Ba3Na,Cubic,0
Ba3Na,Tetragonal,0
Ba3Nb,Cubic,0
Ba3Nd,Hexagonal,0
Ba3Nd,Tetragonal,0
Ba3Np,Cubic,0
Ba3P14,Monoclinic,1.8931
Ba3P2,Cubic,0.0689
Ba3P2,Tetragonal,0.2508
Ba3P4,Orthorhombic,0.4839
Ba3Pa,Tetragonal,0
Ba3Pb5,Orthorhombic,0
Ba3Pm,Cubic,0
Ba3Pm,Hexagonal,0
Ba3Pm,Tetragonal,0
Ba3Pr,Hexagonal,0
Ba3Sb,Cubic,0
